1,38,51,31,33,80,46,0,0,0
2,44,21,63,27,46,0,0,0,0
3,26,43,64,26,15,32,42,0,0
4,36,76,25,49,13,65,0,0,0
5,55,19,66,60,0,0,0,0,0
6,18,14,26,42,68,40,71,0,0
7,48,15,33,32,42,70,0,0,0
8,53,25,75,0,0,0,0,0,0
9,35,45,48,20,0,0,0,0,0
10,17,16,43,45,35,0,0,0,0
11,54,14,26,43,16,0,0,0,0
12,24,62,23,21,49,25,0,0,0
13,65,56,72,49,4,0,0,0,0
14,6,26,11,54,81,67,78,18,0
15,7,48,20,3,32,0,0,0,0
16,77,10,43,11,41,54,0,0,0
17,59,10,22,0,0,0,0,0,0
18,6,78,37,19,71,0,0,0,0
19,37,57,55,5,66,71,18,0,0
20,48,9,45,64,3,15,0,0,0
21,12,23,44,2,63,47,72,49,0
22,17,59,39,0,0,0,0,0,0
23,44,24,62,12,21,0,0,0,0
24,28,29,69,58,44,62,25,0,0
25,8,75,36,4,49,12,24,69,53
26,6,14,11,43,3,42,0,0,0
27,79,31,80,46,2,63,0,0,0
28,52,58,24,29,61,0,0,0,0
29,28,61,69,24,0,0,0,0,0
30,65,73,0,0,0,0,0,0,0
31,1,80,27,79,0,0,0,0,0
32,3,42,7,15,0,0,0,0,0
33,1,51,42,70,7,0,0,0,0
34,59,41,0,0,0,0,0,0,0
35,9,45,10,0,0,0,0,0,0
36,75,25,4,76,0,0,0,0,0
37,74,78,57,19,18,0,0,0,0
38,66,58,46,1,51,50,0,0,0
39,22,59,0,0,0,0,0,0,0
40,6,50,66,71,68,0,0,0,0
41,77,16,54,34,0,0,0,0,0
42,6,68,51,33,70,7,32,3,26
43,10,16,11,26,3,64,45,0,0
44,2,46,58,24,23,21,0,0,0
45,35,9,20,64,43,10,0,0,0
46,38,58,44,2,27,80,1,0,0
47,63,21,72,56,73,0,0,0,0
48,7,15,20,9,0,0,0,0,0
49,13,72,21,12,25,4,0,0,0
50,66,40,68,51,38,0,0,0,0
51,42,33,1,38,50,68,0,0,0
52,55,60,58,28,0,0,0,0,0
53,61,69,25,8,0,0,0,0,0
54,41,16,11,14,81,0,0,0,0
55,57,19,5,60,52,0,0,0,0
56,72,13,65,73,47,0,0,0,0
57,37,19,55,0,0,0,0,0,0,
58,60,52,28,24,44,46,38,66,0
59,17,22,39,34,0,0,0,0,0
60,5,52,55,58,66,0,0,0,0
61,28,29,69,53,0,0,0,0,0
62,24,12,23,0,0,0,0,0,0
63,27,2,21,47,0,0,0,0,0
64,20,45,43,3,0,0,0,0,0
65,4,13,56,73,30,0,0,0,0
66,58,60,5,19,71,40,50,38,0
67,81,14,78,74,0,0,0,0,0
68,6,50,42,51,40,0,0,0,0
69,24,29,61,53,25,0,0,0,0
70,42,7,33,0,0,0,0,0,0
71,6,40,66,19,18,0,0,0,0
72,47,21,49,13,56,0,0,0,0
73,47,56,65,30,0,0,0,0,0
74,67,78,37,0,0,0,0,0,0
75,36,25,8,0,0,0,0,0,0
76,36,4,0,0,0,0,0,0,0,
77,16,41,0,0,0,0,0,0,0
78,67,74,37,18,6,14,0,0,0
79,31,27,0,0,0,0,0,0,0
80,31,27,1,46,0,0,0,0,0
81,54,67,14,0,0,0,0,0,0
